class,label
org.joda.time.Chronology,Very-Good
org.joda.time.DateTimeField,Bad
org.joda.time.DateTimeFieldType,Bad
org.joda.time.DateTimeUtils,Bad
org.joda.time.DateTimeZone,Bad
org.joda.time.DurationField,Bad
org.joda.time.DurationFieldType,Bad
org.joda.time.IllegalFieldValueException,Bad
org.joda.time.IllegalInstantException,Bad
org.joda.time.JodaTimePermission,Bad
org.joda.time.Partial,Perfect
org.joda.time.base.AbstractPartial,Bad
org.joda.time.chrono.AssembledChronology,Bad
org.joda.time.chrono.BaseChronology,Bad
org.joda.time.chrono.BasicChronology,Bad
org.joda.time.chrono.BasicDayOfMonthDateTimeField,Bad
org.joda.time.chrono.BasicDayOfYearDateTimeField,Fair
org.joda.time.chrono.BasicGJChronology,Bad
org.joda.time.chrono.BasicMonthOfYearDateTimeField,Bad
org.joda.time.chrono.BasicWeekOfWeekyearDateTimeField,Fair
org.joda.time.chrono.BasicWeekyearDateTimeField,Bad
org.joda.time.chrono.BasicYearDateTimeField,Bad
org.joda.time.chrono.GJDayOfWeekDateTimeField,Good
org.joda.time.chrono.GJEraDateTimeField,Very-Good
org.joda.time.chrono.GJMonthOfYearDateTimeField,Fair
org.joda.time.chrono.GJYearOfEraDateTimeField,Very-Good
org.joda.time.chrono.GregorianChronology,Bad
org.joda.time.chrono.ISOChronology,Good
org.joda.time.chrono.ISOYearOfEraDateTimeField,Bad
org.joda.time.chrono.ZonedChronology,Bad
org.joda.time.field.BaseDateTimeField,Bad
org.joda.time.field.BaseDurationField,Fair
org.joda.time.field.DecoratedDateTimeField,Bad
org.joda.time.field.DecoratedDurationField,Bad
org.joda.time.field.DividedDateTimeField,Bad
org.joda.time.field.ImpreciseDateTimeField,Bad
org.joda.time.field.MillisDurationField,Bad
org.joda.time.field.OffsetDateTimeField,Good
org.joda.time.field.PreciseDateTimeField,Bad
org.joda.time.field.PreciseDurationDateTimeField,Fair
org.joda.time.field.PreciseDurationField,Bad
org.joda.time.field.RemainderDateTimeField,Good
org.joda.time.field.ScaledDurationField,Bad
org.joda.time.field.UnsupportedDateTimeField,Bad
org.joda.time.field.UnsupportedDurationField,Perfect
org.joda.time.field.ZeroIsMaxDateTimeField,Bad
org.joda.time.tz.CachedDateTimeZone,Bad
org.joda.time.tz.DateTimeZoneBuilder,Good
org.joda.time.tz.DefaultNameProvider,Very-Good
org.joda.time.tz.FixedDateTimeZone,Very-Good
org.joda.time.tz.ZoneInfoProvider,Bad
